"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"flux","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3-0.1",NA,"R (>= 2.12.0), caTools",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"FNN","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.4",NA,"R (>= 4.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"fontawesome","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"forcats","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"foreach","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.3.0"
"foreign","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.8-86","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"forge","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,"R (>= 3.1.2)","rlang (>= 0.3.1), magrittr",NA,"testthat, covr",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.3.0"
"formatR","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"formattable","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.1",NA,"R (> 3.0.2)","methods, htmltools, htmlwidgets, knitr, rmarkdown",NA,"testthat, DT, shiny, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"Formula","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fpc","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2-11",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.3.1"
"fresh","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.2.0",NA,NA,"sass, htmltools, shiny, rstudioapi",NA,"shinyWidgets, shinydashboard, bs4Dash, knitr, rmarkdown,
testthat (>= 2.1.0), covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"fs","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6.3",NA,"R (>= 3.4)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"fso","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1-2",NA,"labdsv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"furrr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"future","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.33.2",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.1"
"future.apply","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.11.1",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"GA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.2.4",NA,"R (>= 3.4), methods, foreach, iterators","stats, graphics, grDevices, utils, cli, crayon, Rcpp","Rcpp, RcppArmadillo","parallel, doParallel, doRNG (>= 1.6), knitr (>= 1.8),
rmarkdown (>= 2.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"gap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5-3",NA,"R (>= 2.10), gap.datasets (>= 0.0.6)","dplyr, ggplot2, plotly, Rdpack",NA,"BradleyTerry2, DiagrammeR, DOT, MASS, Matrix, MCMCglmm,
R2jags, bdsmatrix, bookdown, calibrate, circlize, coda,
cowplot, coxme, foreign, genetics, grid, haplo.stats,
htmlwidgets, jsonlite, kinship2, knitr, lattice, magic,
manhattanly, matrixStats, meta, metafor, nlme, pedigree,
pedigreemm, plotrix, readr, reshape, rmarkdown, rms, survival","shiny","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"gap.datasets","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.0.6",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gargle","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gaston","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6",NA,"Rcpp, RcppParallel, methods","","Rcpp, RcppParallel, RcppEigen","knitr, RcppEigen",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"gbm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.9",NA,"R (>= 2.9.0)","lattice, parallel, survival",NA,"covr, gridExtra, knitr, pdp, RUnit, splines, tinytest, vip,
viridis",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"gclus","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.2",NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gdata","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0.0",NA,NA,"gtools, methods, stats, utils",NA,"RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"gdistance","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.6.4",NA,"R (>= 3.2.0), raster (>= 1.9-19), methods, igraph (>= 0.7.0),
Matrix","sp, stats, terra",NA,"knitr, markdown, rmarkdown, testthat (>= 2.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"geiger","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.11",NA,"ape (>= 3.0-6), R (>= 2.15.0), phytools (>= 1.5-1)","MASS, mvtnorm, subplex, deSolve (>= 1.7), digest, Rcpp (>=
0.11.0), coda, ncbit, colorspace, methods","Rcpp","TreeSim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"generics","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"genetics","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.8.1.3",NA,"combinat, gdata, gtools, MASS, mvtnorm",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.0"
"geniusr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2.1",NA,"R (>= 3.2.0)","curl, dplyr, httr, purrr, rvest, stringr, tibble, xml2",NA,"knitr, rmarkdown, testthat (>= 2.1.0), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"GenSA","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.14",NA,"R (>= 2.12.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"geometry","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.7",NA,"R (>= 3.0.0)","magic, Rcpp, lpSolve, linprog","Rcpp, RcppProgress","spelling, testthat, rgl, R.matlab, interp",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.0"
"geomorph","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.7",NA,"RRPP(>= 2.0.0), rgl, R(>= 3.5.0), Matrix","graphics, grDevices, stats, utils, jpeg, ape, parallel,
ggplot2",NA,"knitr, rmarkdown, testthat, dplyr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"geoscale","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.1",NA,"R (>= 2.10)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"geosphere","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.5-18",NA,"R (>= 3.0.0)","Rcpp, sp","Rcpp","methods, raster",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.0"
"gert","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.0.1",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"getopt","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.20.4",NA,NA,"stats",NA,"testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"GGally","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2.1",NA,"R (>= 3.1), ggplot2 (>= 3.4.4)","dplyr (>= 1.0.0), tidyr (>= 1.3.0), grDevices, grid, ggstats,
gtable (>= 0.2.0), lifecycle, plyr (>= 1.8.3), progress,
RColorBrewer, rlang, scales (>= 1.1.0), utils, magrittr",NA,"broom (>= 0.7.0), broom.helpers (>= 1.3.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans, vdiffr",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.3.1"
"ggbiplot","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.2",NA,"R (>= 3.5.0), ggplot2","scales",NA,"corrplot, dplyr, MASS, broom, tidyr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ggfittext","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.10.2",NA,"R (>= 3.6)","grid (>= 3.1), stringi (>= 1.1.2), shades (>= 1.3.1), gridtext
(>= 0.1.4), ggplot2 (>= 2.2.1), cli (>= 3.6.1)",NA,"knitr, rmarkdown, testthat (>= 3.0.0), vdiffr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ggforce","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.4.2",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"gggenes","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.1",NA,"R (>= 3.6)","grid (>= 3.3.0), ggplot2 (>= 2.2.1), ggfittext (>= 0.8.0),
rlang (>= 0.2.0)",NA,"testthat, knitr, rmarkdown, vdiffr, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.0"
"ggm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.5.1",NA,"R (>= 3.6.0), methods","BiocManager, graph, igraph",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ggmap","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.0.0",NA,"R (>= 3.1.0), ggplot2 (>= 2.2.0)","png, plyr, jpeg, digest, scales, dplyr, bitops, grid, glue,
httr, stringr, purrr, magrittr, tibble, tidyr, rlang, cli",NA,"MASS, hexbin, testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"ggplot2","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.5.0",NA,"R (>= 3.5)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.3.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, mapproj,
maps, multcomp, munsell, nlme, profvis, quantreg, ragg (>=
1.2.6), RColorBrewer, rmarkdown, rpart, sf (>= 0.7-3), svglite
(>= 2.1.2), testthat (>= 3.1.2), vdiffr (>= 1.0.6), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ggpubr","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"ggraph","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2.1",NA,"R (>= 2.10), ggplot2 (>= 3.5.0)","dplyr, ggforce (>= 0.3.1), grid, igraph (>= 1.0.0), scales,
MASS, ggrepel, utils, stats, viridis, rlang, tidygraph,
graphlayouts (>= 1.1.0), withr, cli, vctrs, lifecycle, memoise","cpp11","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr, sf, sfnetworks",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"ggrepel","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.9.5",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra, ggpp,
patchwork, devtools, prettydoc, ggbeeswarm, dplyr, magrittr,
readr, stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"ggridges","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.6",NA,"R (>= 3.2)","ggplot2 (>= 3.4.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ggsci","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.0.3",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, reshape2, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"ggsignif","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"ggstats","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.5.1",NA,NA,"broom.helpers (>= 1.14.0), cli, dplyr, forcats, ggplot2 (>=
3.4.0), lifecycle, magrittr, patchwork, purrr, rlang, scales,
stats, stringr, tidyr",NA,"betareg, broom, emmeans, glue, knitr, labelled (>= 2.11.0),
reshape, rmarkdown, nnet, parameters, pscl, testthat (>=
3.0.0), spelling, survey, survival, vdiffr",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.1"
"ggthemes","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","5.1.0",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, lifecycle, methods, purrr,
scales, stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, quantreg, rlang, rmarkdown, spelling, testthat
(>= 3.2.0), tidyr, vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"gh","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"git2r","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.33.0",NA,"R (>= 4.0)","graphics, utils",NA,"getPass",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"gitcreds","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"glasso","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.11",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"glassoFast","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.1",NA,NA,NA,NA,"glasso, rbenchmark",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.0"
"gld","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.6.6",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"glmnet","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.1-8",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.0"
"glmulti","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.8",NA,"R (>= 2.13.0), rJava (>= 0.5-0), methods, leaps",NA,NA,"MASS, aod, lme4, pscl, survival, nnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"globals","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.16.3",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.1"
"glue","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.7.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"gmodels","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.19.1",NA,NA,"MASS, gdata, stats",NA,"gplots, gtools, Matrix, nlme, lme4",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"gmp","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7-4",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"gnm","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1-5",NA,"R (>= 3.0.0)","graphics, grDevices, MASS, Matrix, methods, nnet, qvcalc (>=
0.8-3), relimp, stats, utils",NA,"logmult, testthat (>= 3.0.0), vcdExtra",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"goftest","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.2-3",NA,"R (>= 3.3)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"googledrive","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"googlesheets4","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gower","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"GPArotation","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2024.3-1",NA,"R (>= 2.0.0)","stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"gplots","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.1.3.1",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"graphics","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"grDevices",NA,NA,NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"graphlayouts","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.1.1",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"grDevices","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"grid","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","4.3.3","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.3.3",NA,NA,NA,NA,"yes","4.3.3"
"gridExtra","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gridtext","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.1.5",NA,"R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg,
stringr, xml2","Rcpp","covr, knitr, rmarkdown, testthat, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"gss","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","2.2-7",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"gsubfn","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.7",NA,"proto",NA,NA,"boot, chron, grid, lattice, quantreg, svUnit, tcltk, zoo",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"gtable","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","0.3.4",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.0"
"gtools","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","3.9.5",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"GUniFrac","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.8",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.13), vegan, ggplot2, matrixStats, Matrix, ape,
parallel, stats, utils, statmod, rmutil, dirmult, MASS,
ggrepel, foreach, modeest, inline, methods","Rcpp","ade4, knitr, markdown, ggpubr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"hardhat","/Library/Frameworks/R.framework/Versions/4.3-arm64/Resources/library","1.3.1",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
